,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,feature,cluster,group.1,significant
STIM1_CD8 T-Cell,0.000802399959870521,0.532558984815198,0.312,0.275,1,STIM1,CD8 T-Cell,Cl_1_3,FALSE
BRMS1_CD8 T-Cell,0.000813087217185469,-0.0495508595580133,0.228,0.307,1,BRMS1,CD8 T-Cell,Cl_1_3,FALSE
ECH1_CD8 T-Cell,0.000820410426607555,-0.134860014609671,0.436,0.548,1,ECH1,CD8 T-Cell,Cl_1_3,FALSE
CD84_CD8 T-Cell,0.000825221930516754,-0.147126027409496,0.281,0.358,1,CD84,CD8 T-Cell,Cl_1_3,FALSE
PTK2B_CD8 T-Cell,0.000833876116973325,-0.096996708614804,0.204,0.274,1,PTK2B,CD8 T-Cell,Cl_1_3,FALSE
GMCL1_CD8 T-Cell,0.000856058640121643,0.603573036799212,0.253,0.214,1,GMCL1,CD8 T-Cell,Cl_1_3,FALSE
MICOS10_CD8 T-Cell,0.000858971826350176,-0.127074958420132,0.275,0.356,1,MICOS10,CD8 T-Cell,Cl_1_3,FALSE
EML4_CD8 T-Cell,0.000863574890152911,0.342679426932463,0.504,0.499,1,EML4,CD8 T-Cell,Cl_1_3,FALSE
RNF10_CD8 T-Cell,0.000870955222268036,-0.173996042791685,0.29,0.369,1,RNF10,CD8 T-Cell,Cl_1_3,FALSE
OXNAD1_CD8 T-Cell,0.000871575204150016,-0.158654040827295,0.253,0.328,1,OXNAD1,CD8 T-Cell,Cl_1_3,FALSE
CIRBP_CD8 T-Cell,0.000874440254527767,-0.131847504417852,0.801,0.887,1,CIRBP,CD8 T-Cell,Cl_1_3,FALSE
SPG21_CD8 T-Cell,0.000875735003529315,-0.116550397489144,0.211,0.282,1,SPG21,CD8 T-Cell,Cl_1_3,FALSE
EOMES_CD8 T-Cell,0.000877392557034946,0.383479720462069,0.499,0.481,1,EOMES,CD8 T-Cell,Cl_1_3,FALSE
TMEM173_CD8 T-Cell,0.000879516676878922,0.467166184653334,0.283,0.239,1,TMEM173,CD8 T-Cell,Cl_1_3,FALSE
NDUFB8_CD8 T-Cell,0.000882577436079106,-0.134487791942575,0.73,0.797,1,NDUFB8,CD8 T-Cell,Cl_1_3,FALSE
PSMD9_CD8 T-Cell,0.000885114614670632,-0.124416897117739,0.288,0.375,1,PSMD9,CD8 T-Cell,Cl_1_3,FALSE
HIVEP2_CD8 T-Cell,0.000888495420229723,0.565532645351959,0.275,0.24,1,HIVEP2,CD8 T-Cell,Cl_1_3,FALSE
ELOVL5_CD8 T-Cell,0.000895702537603312,-0.158634083247101,0.471,0.575,1,ELOVL5,CD8 T-Cell,Cl_1_3,FALSE
UBE2G1_CD8 T-Cell,0.000897465223707621,-0.14551420578578,0.284,0.37,1,UBE2G1,CD8 T-Cell,Cl_1_3,FALSE
TMSB10_CD8 T-Cell,0.000899404831653992,-0.0786502393342028,0.996,1,1,TMSB10,CD8 T-Cell,Cl_1_3,FALSE
C11orf58_CD8 T-Cell,0.000907176754536855,-0.101554973737145,0.545,0.663,1,C11orf58,CD8 T-Cell,Cl_1_3,FALSE
EIF3B_CD8 T-Cell,0.000923425020908175,-0.147901950917198,0.282,0.365,1,EIF3B,CD8 T-Cell,Cl_1_3,FALSE
GPS2_CD8 T-Cell,0.000943228545786839,-0.172010058074784,0.454,0.556,1,GPS2,CD8 T-Cell,Cl_1_3,FALSE
RHBDD2_CD8 T-Cell,0.000948188724337761,-0.0834284889767056,0.237,0.319,1,RHBDD2,CD8 T-Cell,Cl_1_3,FALSE
SF3B4_CD8 T-Cell,0.00094909637213885,-0.151883373343361,0.357,0.453,1,SF3B4,CD8 T-Cell,Cl_1_3,FALSE
NMT1_CD8 T-Cell,0.000962464646996348,-0.103786341405816,0.199,0.266,1,NMT1,CD8 T-Cell,Cl_1_3,FALSE
CCDC25_CD8 T-Cell,0.000971915700328467,-0.134819006871355,0.185,0.25,1,CCDC25,CD8 T-Cell,Cl_1_3,FALSE
UBASH3A_CD8 T-Cell,0.000981508690075,-0.0830500224612425,0.205,0.274,1,UBASH3A,CD8 T-Cell,Cl_1_3,FALSE
NAA38_CD8 T-Cell,0.000993472430036936,-0.116446508103611,0.411,0.511,1,NAA38,CD8 T-Cell,Cl_1_3,FALSE
NUDT1_CD8 T-Cell,0.00101027550607662,-0.196713241671756,0.233,0.3,1,NUDT1,CD8 T-Cell,Cl_1_3,FALSE
SUZ12_CD8 T-Cell,0.00104811148558785,-0.070497569288991,0.282,0.367,1,SUZ12,CD8 T-Cell,Cl_1_3,FALSE
EIF2AK2_CD8 T-Cell,0.0010568380288587,-0.18130812454716,0.359,0.44,1,EIF2AK2,CD8 T-Cell,Cl_1_3,FALSE
PPIH_CD8 T-Cell,0.00106058268683423,-0.125020620537074,0.208,0.276,1,PPIH,CD8 T-Cell,Cl_1_3,FALSE
A1BG_CD8 T-Cell,0.001062545713614,0.572103528581668,0.277,0.24,1,A1BG,CD8 T-Cell,Cl_1_3,FALSE
RASA2_CD8 T-Cell,0.00107562314325675,-0.124975673151731,0.509,0.618,1,RASA2,CD8 T-Cell,Cl_1_3,FALSE
ATP6V0B_CD8 T-Cell,0.00108283922062795,-0.0869778325437278,0.393,0.503,1,ATP6V0B,CD8 T-Cell,Cl_1_3,FALSE
TMPO_CD8 T-Cell,0.00108891258841505,0.434069948162783,0.405,0.387,1,TMPO,CD8 T-Cell,Cl_1_3,FALSE
NDUFC2_CD8 T-Cell,0.00109460496965011,-0.155894955198445,0.591,0.704,1,NDUFC2,CD8 T-Cell,Cl_1_3,FALSE
CDK11B_CD8 T-Cell,0.00111408746140344,-0.0938418433140678,0.244,0.323,1,CDK11B,CD8 T-Cell,Cl_1_3,FALSE
FAM204A_CD8 T-Cell,0.00114237137584156,-0.0565293723917808,0.246,0.323,1,FAM204A,CD8 T-Cell,Cl_1_3,FALSE
ARID1B_CD8 T-Cell,0.0011497654755194,0.419376659972951,0.466,0.468,1,ARID1B,CD8 T-Cell,Cl_1_3,FALSE
ARID2_CD8 T-Cell,0.00115598627916434,0.428077195054041,0.317,0.282,1,ARID2,CD8 T-Cell,Cl_1_3,FALSE
MLX_CD8 T-Cell,0.00115796446937592,-0.14338688250939,0.204,0.27,1,MLX,CD8 T-Cell,Cl_1_3,FALSE
TOX4_CD8 T-Cell,0.00116402494584652,-0.116730237139622,0.257,0.333,1,TOX4,CD8 T-Cell,Cl_1_3,FALSE
PPP3R1_CD8 T-Cell,0.00116432604481564,-0.0542876010784029,0.353,0.451,1,PPP3R1,CD8 T-Cell,Cl_1_3,FALSE
AP1G1_CD8 T-Cell,0.00116475486989811,-0.176359851088073,0.197,0.258,1,AP1G1,CD8 T-Cell,Cl_1_3,FALSE
LRRFIP2_CD8 T-Cell,0.00116839683910022,0.558217292738836,0.251,0.213,1,LRRFIP2,CD8 T-Cell,Cl_1_3,FALSE
EDF1_CD8 T-Cell,0.00117685673490978,-0.103587105685325,0.769,0.844,1,EDF1,CD8 T-Cell,Cl_1_3,FALSE
ZC3H7A_CD8 T-Cell,0.00117735853277539,-0.0890888171622377,0.311,0.4,1,ZC3H7A,CD8 T-Cell,Cl_1_3,FALSE
RPS23_CD8 T-Cell,0.00119669672500764,-0.0673460746415078,0.995,1,1,RPS23,CD8 T-Cell,Cl_1_3,FALSE
ATP1B3_CD8 T-Cell,0.00121200809712299,-0.128809584016133,0.255,0.33,1,ATP1B3,CD8 T-Cell,Cl_1_3,FALSE
PSMC3_CD8 T-Cell,0.00122380008570196,-0.0472097743703017,0.27,0.354,1,PSMC3,CD8 T-Cell,Cl_1_3,FALSE
ELMO1_CD8 T-Cell,0.00122792541575099,0.360875701416263,0.507,0.518,1,ELMO1,CD8 T-Cell,Cl_1_3,FALSE
CAB39_CD8 T-Cell,0.00122868158353243,0.450505257579168,0.351,0.327,1,CAB39,CD8 T-Cell,Cl_1_3,FALSE
RBM38_CD8 T-Cell,0.00123850513180075,-0.102624491288331,0.461,0.579,1,RBM38,CD8 T-Cell,Cl_1_3,FALSE
RAB10_CD8 T-Cell,0.00127782509073347,-0.0975311857738747,0.257,0.339,1,RAB10,CD8 T-Cell,Cl_1_3,FALSE
RSF1_CD8 T-Cell,0.0012926886212989,-0.136395978845692,0.393,0.489,1,RSF1,CD8 T-Cell,Cl_1_3,FALSE
TRAPPC3_CD8 T-Cell,0.00130745998199009,-0.168867624668257,0.255,0.328,1,TRAPPC3,CD8 T-Cell,Cl_1_3,FALSE
DDX46_CD8 T-Cell,0.00135179437567294,-0.123471851969938,0.397,0.498,1,DDX46,CD8 T-Cell,Cl_1_3,FALSE
RNF7_CD8 T-Cell,0.00135250284898624,-0.14534070433084,0.482,0.588,1,RNF7,CD8 T-Cell,Cl_1_3,FALSE
TBCA_CD8 T-Cell,0.00136188193091785,0.286085999074308,0.571,0.579,1,TBCA,CD8 T-Cell,Cl_1_3,FALSE
LRPAP1_CD8 T-Cell,0.00137707021681025,-0.0772458328345682,0.311,0.399,1,LRPAP1,CD8 T-Cell,Cl_1_3,FALSE
GTF2F1_CD8 T-Cell,0.00137716559072776,-0.0601658773971367,0.222,0.295,1,GTF2F1,CD8 T-Cell,Cl_1_3,FALSE
ATG12_CD8 T-Cell,0.00139681751421558,-0.094810627476422,0.243,0.319,1,ATG12,CD8 T-Cell,Cl_1_3,FALSE
GNG5_CD8 T-Cell,0.00140337782523575,0.189996839305939,0.642,0.648,1,GNG5,CD8 T-Cell,Cl_1_3,FALSE
PSMD3_CD8 T-Cell,0.00140684453263093,-0.117253397013137,0.23,0.301,1,PSMD3,CD8 T-Cell,Cl_1_3,FALSE
CHMP5_CD8 T-Cell,0.00141660713442999,-0.125759940928046,0.233,0.304,1,CHMP5,CD8 T-Cell,Cl_1_3,FALSE
RPS27_CD8 T-Cell,0.00142215051657701,-0.0950568605220798,0.997,1,1,RPS27,CD8 T-Cell,Cl_1_3,FALSE
GATAD2A_CD8 T-Cell,0.00142708626729673,-0.175981323135221,0.217,0.281,1,GATAD2A,CD8 T-Cell,Cl_1_3,FALSE
CUL5_CD8 T-Cell,0.00143569236008878,-0.128164710366434,0.27,0.348,1,CUL5,CD8 T-Cell,Cl_1_3,FALSE
UQCRC1_CD8 T-Cell,0.00144693750407661,-0.115431379893515,0.362,0.455,1,UQCRC1,CD8 T-Cell,Cl_1_3,FALSE
ALDOA_CD8 T-Cell,0.00146659140440073,-0.124345857051709,0.804,0.877,1,ALDOA,CD8 T-Cell,Cl_1_3,FALSE
RIOK3_CD8 T-Cell,0.00146824821780855,-0.103934416088111,0.351,0.444,1,RIOK3,CD8 T-Cell,Cl_1_3,FALSE
CTDSPL2_CD8 T-Cell,0.00150820458981552,0.596888848314011,0.254,0.22,1,CTDSPL2,CD8 T-Cell,Cl_1_3,FALSE
TXNRD1_CD8 T-Cell,0.00151156854071764,-0.181637877113113,0.2,0.262,1,TXNRD1,CD8 T-Cell,Cl_1_3,FALSE
ELF2_CD8 T-Cell,0.00153522348776134,-0.0579209806862449,0.308,0.396,1,ELF2,CD8 T-Cell,Cl_1_3,FALSE
NFKBIA_CD8 T-Cell,0.00154871976687079,0.484073634206082,0.582,0.597,1,NFKBIA,CD8 T-Cell,Cl_1_3,FALSE
PPM1M_CD8 T-Cell,0.00156867419302445,-0.121152460856127,0.233,0.303,1,PPM1M,CD8 T-Cell,Cl_1_3,FALSE
HNRNPC_CD8 T-Cell,0.00163179946345149,-0.106088464944001,0.71,0.786,1,HNRNPC,CD8 T-Cell,Cl_1_3,FALSE
MTA2_CD8 T-Cell,0.00163228022464316,-0.182108867829767,0.206,0.268,1,MTA2,CD8 T-Cell,Cl_1_3,FALSE
SMAP2_CD8 T-Cell,0.00163689907546471,0.208839088637698,0.7,0.712,1,SMAP2,CD8 T-Cell,Cl_1_3,FALSE
BLOC1S1_CD8 T-Cell,0.00163779313605965,-0.111839883593864,0.606,0.702,1,BLOC1S1,CD8 T-Cell,Cl_1_3,FALSE
SFSWAP_CD8 T-Cell,0.00164320704770157,-0.0654470233958858,0.22,0.289,1,SFSWAP,CD8 T-Cell,Cl_1_3,FALSE
RPAIN_CD8 T-Cell,0.00168464933129474,-0.0729056394211578,0.231,0.304,1,RPAIN,CD8 T-Cell,Cl_1_3,FALSE
SAT1_CD8 T-Cell,0.00169074154726557,-0.133304886386176,0.522,0.631,1,SAT1,CD8 T-Cell,Cl_1_3,FALSE
BAG6_CD8 T-Cell,0.00169789790416439,-0.0597307802342869,0.238,0.311,1,BAG6,CD8 T-Cell,Cl_1_3,FALSE
POLR2C_CD8 T-Cell,0.00170230744283228,0.0227614050208584,0.214,0.29,1,POLR2C,CD8 T-Cell,Cl_1_3,FALSE
MPC1_CD8 T-Cell,0.00170835853198044,0.523008743144643,0.266,0.232,1,MPC1,CD8 T-Cell,Cl_1_3,FALSE
GOSR1_CD8 T-Cell,0.00171394600198935,-0.0821403878168318,0.191,0.254,1,GOSR1,CD8 T-Cell,Cl_1_3,FALSE
SNRPG_CD8 T-Cell,0.00172958581277495,-0.172026614431017,0.506,0.602,1,SNRPG,CD8 T-Cell,Cl_1_3,FALSE
DNAJC4_CD8 T-Cell,0.00174454017832386,-0.112711035582696,0.217,0.286,1,DNAJC4,CD8 T-Cell,Cl_1_3,FALSE
RHBDF2_CD8 T-Cell,0.00174707370177116,-0.0832867687451851,0.189,0.254,1,RHBDF2,CD8 T-Cell,Cl_1_3,FALSE
RBM17_CD8 T-Cell,0.00175349993032059,-0.0692010341187496,0.324,0.418,1,RBM17,CD8 T-Cell,Cl_1_3,FALSE
SNRPN_CD8 T-Cell,0.00175609363369913,0.321797962452139,0.528,0.534,1,SNRPN,CD8 T-Cell,Cl_1_3,FALSE
WBP1_CD8 T-Cell,0.00180106370909625,-0.0664005294782569,0.281,0.364,1,WBP1,CD8 T-Cell,Cl_1_3,FALSE
PTPN2_CD8 T-Cell,0.00182976262817463,0.527481128277797,0.329,0.306,1,PTPN2,CD8 T-Cell,Cl_1_3,FALSE
FAM160B1_CD8 T-Cell,0.00186538608623429,-0.12466709513594,0.233,0.304,1,FAM160B1,CD8 T-Cell,Cl_1_3,FALSE
HECTD1_CD8 T-Cell,0.0018936201951744,-0.11874654587626,0.253,0.329,1,HECTD1,CD8 T-Cell,Cl_1_3,FALSE
GSTO1_CD8 T-Cell,0.00189781311510245,-0.155625497458659,0.283,0.358,1,GSTO1,CD8 T-Cell,Cl_1_3,FALSE
AGO4_CD8 T-Cell,0.00194056189485975,0.525431717894847,0.308,0.28,1,AGO4,CD8 T-Cell,Cl_1_3,FALSE
HIST1H1E_CD8 T-Cell,0.0019453545163468,-0.148336762530614,0.548,0.643,1,HIST1H1E,CD8 T-Cell,Cl_1_3,FALSE
SAMM50_CD8 T-Cell,0.0019522349384031,-0.110560351214692,0.211,0.276,1,SAMM50,CD8 T-Cell,Cl_1_3,FALSE
TGFB1_CD8 T-Cell,0.00197872119230587,-0.121552290564188,0.816,0.896,1,TGFB1,CD8 T-Cell,Cl_1_3,FALSE
PHAX_CD8 T-Cell,0.00201479356855756,-0.0398411397156333,0.192,0.256,1,PHAX,CD8 T-Cell,Cl_1_3,FALSE
ARPC5_CD8 T-Cell,0.00201578297980936,0.21629576873372,0.633,0.635,1,ARPC5,CD8 T-Cell,Cl_1_3,FALSE
ATP9B_CD8 T-Cell,0.00204677789317677,-0.105072595027344,0.248,0.321,1,ATP9B,CD8 T-Cell,Cl_1_3,FALSE
SPON2_CD8 T-Cell,0.00204718170910372,0.617492431782061,0.253,0.221,1,SPON2,CD8 T-Cell,Cl_1_3,FALSE
NDUFA7_CD8 T-Cell,0.00207319650791997,-0.131323654524433,0.395,0.489,1,NDUFA7,CD8 T-Cell,Cl_1_3,FALSE
BLOC1S4_CD8 T-Cell,0.00209586255007402,-0.159084509664559,0.238,0.307,1,BLOC1S4,CD8 T-Cell,Cl_1_3,FALSE
CCDC167_CD8 T-Cell,0.00211077062080002,-0.117222734927968,0.403,0.491,1,CCDC167,CD8 T-Cell,Cl_1_3,FALSE
ABRACL_CD8 T-Cell,0.00212553910429436,0.329244558669342,0.521,0.529,1,ABRACL,CD8 T-Cell,Cl_1_3,FALSE
ANKRD36_CD8 T-Cell,0.00212858638720636,0.45805645063917,0.329,0.296,1,ANKRD36,CD8 T-Cell,Cl_1_3,FALSE
PSMG2_CD8 T-Cell,0.00217574296480402,-0.0784058641143535,0.333,0.429,1,PSMG2,CD8 T-Cell,Cl_1_3,FALSE
IMP3_CD8 T-Cell,0.0021934818904286,-0.129791666541089,0.389,0.486,1,IMP3,CD8 T-Cell,Cl_1_3,FALSE
SNW1_CD8 T-Cell,0.00219743889552738,-0.120135429843406,0.266,0.339,1,SNW1,CD8 T-Cell,Cl_1_3,FALSE
SFI1_CD8 T-Cell,0.00219764344938376,-0.176898261154132,0.211,0.271,1,SFI1,CD8 T-Cell,Cl_1_3,FALSE
ZNRF2_CD8 T-Cell,0.00222095904095291,-0.133185883557357,0.248,0.316,1,ZNRF2,CD8 T-Cell,Cl_1_3,FALSE
POM121C_CD8 T-Cell,0.00223679916605504,-0.0300368376331202,0.213,0.284,1,POM121C,CD8 T-Cell,Cl_1_3,FALSE
FOXJ3_CD8 T-Cell,0.00224930123584355,-0.105978738223386,0.238,0.308,1,FOXJ3,CD8 T-Cell,Cl_1_3,FALSE
CSGALNACT2_CD8 T-Cell,0.00226959146012851,-0.10180767388152,0.247,0.317,1,CSGALNACT2,CD8 T-Cell,Cl_1_3,FALSE
SRSF7_CD8 T-Cell,0.00227725187768129,-0.139235631699735,0.559,0.66,1,SRSF7,CD8 T-Cell,Cl_1_3,FALSE
TCERG1_CD8 T-Cell,0.00232143669807168,-0.116415370253628,0.225,0.292,1,TCERG1,CD8 T-Cell,Cl_1_3,FALSE
HNRNPD_CD8 T-Cell,0.00234322170268465,-0.128070246002056,0.574,0.671,1,HNRNPD,CD8 T-Cell,Cl_1_3,FALSE
MRPS12_CD8 T-Cell,0.00236492056603251,-0.125003780134809,0.241,0.311,1,MRPS12,CD8 T-Cell,Cl_1_3,FALSE
RNF220_CD8 T-Cell,0.00236999662632481,-0.0819653082126191,0.322,0.408,1,RNF220,CD8 T-Cell,Cl_1_3,FALSE
PAIP2_CD8 T-Cell,0.00241262906059791,-0.143392235159619,0.576,0.692,1,PAIP2,CD8 T-Cell,Cl_1_3,FALSE
RBBP4_CD8 T-Cell,0.00242569342116808,-0.138983206084118,0.452,0.546,1,RBBP4,CD8 T-Cell,Cl_1_3,FALSE
PRORP_CD8 T-Cell,0.00242650133812051,0.566559983482088,0.276,0.245,1,PRORP,CD8 T-Cell,Cl_1_3,FALSE
EHMT1_CD8 T-Cell,0.00249315892387786,-0.0417708690580201,0.254,0.332,1,EHMT1,CD8 T-Cell,Cl_1_3,FALSE
KXD1_CD8 T-Cell,0.00254019834364653,-0.0268893813620727,0.297,0.388,1,KXD1,CD8 T-Cell,Cl_1_3,FALSE
MRPS5_CD8 T-Cell,0.00255571165104858,-0.0509498605752184,0.223,0.291,1,MRPS5,CD8 T-Cell,Cl_1_3,FALSE
CDC40_CD8 T-Cell,0.00257922913406755,-0.0547837296871929,0.221,0.287,1,CDC40,CD8 T-Cell,Cl_1_3,FALSE
KMT2A_CD8 T-Cell,0.00260264978611777,0.281304265441459,0.594,0.626,1,KMT2A,CD8 T-Cell,Cl_1_3,FALSE
ACADVL_CD8 T-Cell,0.00260633965106951,-0.104922624977929,0.368,0.465,1,ACADVL,CD8 T-Cell,Cl_1_3,FALSE
TMEM147_CD8 T-Cell,0.0026515849760127,-0.11994282813096,0.201,0.266,1,TMEM147,CD8 T-Cell,Cl_1_3,FALSE
SRSF8_CD8 T-Cell,0.00267089597480477,-0.124366723112213,0.246,0.319,1,SRSF8,CD8 T-Cell,Cl_1_3,FALSE
NUBP2_CD8 T-Cell,0.00267779839072231,-0.104273584963927,0.239,0.308,1,NUBP2,CD8 T-Cell,Cl_1_3,FALSE
NDUFAF3_CD8 T-Cell,0.00269195532466225,-0.0432633379885812,0.267,0.348,1,NDUFAF3,CD8 T-Cell,Cl_1_3,FALSE
ABTB1_CD8 T-Cell,0.00276360883345882,0.502775079127742,0.264,0.23,1,ABTB1,CD8 T-Cell,Cl_1_3,FALSE
WDR83OS_CD8 T-Cell,0.00277502149991593,-0.111624368262703,0.641,0.726,1,WDR83OS,CD8 T-Cell,Cl_1_3,FALSE
C6orf89_CD8 T-Cell,0.00278333263878777,-0.0123147053115498,0.213,0.283,1,C6orf89,CD8 T-Cell,Cl_1_3,FALSE
SCRN2_CD8 T-Cell,0.00280358022961765,-0.102277041934062,0.19,0.25,1,SCRN2,CD8 T-Cell,Cl_1_3,FALSE
SIVA1_CD8 T-Cell,0.00280666025892845,-0.0911864353614046,0.358,0.452,1,SIVA1,CD8 T-Cell,Cl_1_3,FALSE
RPS10_CD8 T-Cell,0.00282373018030705,0.36890077184439,0.37,0.346,1,RPS10,CD8 T-Cell,Cl_1_3,FALSE
EAPP_CD8 T-Cell,0.00282497372605603,-0.0727784303515936,0.41,0.511,1,EAPP,CD8 T-Cell,Cl_1_3,FALSE
EMD_CD8 T-Cell,0.00283415915780313,-0.137835140890535,0.376,0.466,1,EMD,CD8 T-Cell,Cl_1_3,FALSE
SMG1_CD8 T-Cell,0.00285833569812712,0.359819363244812,0.422,0.407,1,SMG1,CD8 T-Cell,Cl_1_3,FALSE
SYNE1_CD8 T-Cell,0.00288746373252331,0.242236493216841,0.686,0.727,1,SYNE1,CD8 T-Cell,Cl_1_3,FALSE
NDUFA1_CD8 T-Cell,0.00295465923233658,-0.0762487418273425,0.785,0.845,1,NDUFA1,CD8 T-Cell,Cl_1_3,FALSE
MRPS35_CD8 T-Cell,0.00296688332355592,-0.0824883155107439,0.215,0.28,1,MRPS35,CD8 T-Cell,Cl_1_3,FALSE
FXR1_CD8 T-Cell,0.00304046083162852,-0.105262181708788,0.314,0.394,1,FXR1,CD8 T-Cell,Cl_1_3,FALSE
GABARAP_CD8 T-Cell,0.00316080014811671,-0.0960285291045166,0.834,0.894,1,GABARAP,CD8 T-Cell,Cl_1_3,FALSE
EIF4E_CD8 T-Cell,0.00316640556235675,0.581118663557652,0.292,0.268,1,EIF4E,CD8 T-Cell,Cl_1_3,FALSE
CCNK_CD8 T-Cell,0.00321571278541539,-0.0734512083405638,0.254,0.328,1,CCNK,CD8 T-Cell,Cl_1_3,FALSE
ATP5MC1_CD8 T-Cell,0.00321980291360613,-0.131855122551718,0.303,0.385,1,ATP5MC1,CD8 T-Cell,Cl_1_3,FALSE
PCM1_CD8 T-Cell,0.00322727134614037,0.44051643369529,0.401,0.388,1,PCM1,CD8 T-Cell,Cl_1_3,FALSE
SMARCD1_CD8 T-Cell,0.00323033867049827,0.015237529393219,0.213,0.282,1,SMARCD1,CD8 T-Cell,Cl_1_3,FALSE
TOMM5_CD8 T-Cell,0.00326270234583749,-0.0814028461191717,0.396,0.496,1,TOMM5,CD8 T-Cell,Cl_1_3,FALSE
RABGAP1_CD8 T-Cell,0.00326381084844763,0.623453086689168,0.254,0.223,1,RABGAP1,CD8 T-Cell,Cl_1_3,FALSE
COMMD4_CD8 T-Cell,0.00327036539682598,-0.0671381083656566,0.195,0.257,1,COMMD4,CD8 T-Cell,Cl_1_3,FALSE
GPRIN3_CD8 T-Cell,0.0032742715936925,-0.132602636485339,0.278,0.347,1,GPRIN3,CD8 T-Cell,Cl_1_3,FALSE
PSMB6_CD8 T-Cell,0.0032900989119992,-0.125139534454331,0.526,0.634,1,PSMB6,CD8 T-Cell,Cl_1_3,FALSE
UBE2I_CD8 T-Cell,0.00330767885137015,-0.115525717197905,0.531,0.627,1,UBE2I,CD8 T-Cell,Cl_1_3,FALSE
CDK13_CD8 T-Cell,0.00334343237783362,0.438476619251865,0.386,0.375,1,CDK13,CD8 T-Cell,Cl_1_3,FALSE
DDA1_CD8 T-Cell,0.00338643917740578,-0.0812046878199753,0.206,0.268,1,DDA1,CD8 T-Cell,Cl_1_3,FALSE
FAM133B_CD8 T-Cell,0.00343383925000819,-0.114573979539559,0.248,0.317,1,FAM133B,CD8 T-Cell,Cl_1_3,FALSE
SIAH2_CD8 T-Cell,0.00348789703688606,-0.0932694540772041,0.245,0.316,1,SIAH2,CD8 T-Cell,Cl_1_3,FALSE
SLC38A2_CD8 T-Cell,0.00362970451548741,-0.0673943225608654,0.252,0.322,1,SLC38A2,CD8 T-Cell,Cl_1_3,FALSE
SF3B1_CD8 T-Cell,0.00363706867624832,-0.116271258504362,0.539,0.643,1,SF3B1,CD8 T-Cell,Cl_1_3,FALSE
VDAC2_CD8 T-Cell,0.00363885254677834,-0.122042425153091,0.37,0.454,1,VDAC2,CD8 T-Cell,Cl_1_3,FALSE
AC010894.3_CD8 T-Cell,0.00363948593337955,-0.0564185721469172,0.276,0.352,1,AC010894.3,CD8 T-Cell,Cl_1_3,FALSE
CYB561D2_CD8 T-Cell,0.00365343776321351,-0.0581083920314429,0.249,0.322,1,CYB561D2,CD8 T-Cell,Cl_1_3,FALSE
ZNF394_CD8 T-Cell,0.00369522066562342,-0.123127203791343,0.23,0.295,1,ZNF394,CD8 T-Cell,Cl_1_3,FALSE
NDUFAF8_CD8 T-Cell,0.00371411803529908,-0.16929187898279,0.245,0.312,1,NDUFAF8,CD8 T-Cell,Cl_1_3,FALSE
DERL1_CD8 T-Cell,0.00373230891695424,-0.0353289138558798,0.26,0.339,1,DERL1,CD8 T-Cell,Cl_1_3,FALSE
SMDT1_CD8 T-Cell,0.00373730200843678,0.255833438850569,0.595,0.615,1,SMDT1,CD8 T-Cell,Cl_1_3,FALSE
RNH1_CD8 T-Cell,0.0037384771704898,-0.0775182686515928,0.247,0.32,1,RNH1,CD8 T-Cell,Cl_1_3,FALSE
TNIK_CD8 T-Cell,0.00375427436805832,0.523977060028707,0.293,0.267,1,TNIK,CD8 T-Cell,Cl_1_3,FALSE
STUB1_CD8 T-Cell,0.00376180713052356,-0.138005414603886,0.44,0.539,1,STUB1,CD8 T-Cell,Cl_1_3,FALSE
MFF_CD8 T-Cell,0.00379509221778986,-0.0772972662337948,0.335,0.423,1,MFF,CD8 T-Cell,Cl_1_3,FALSE
SFT2D1_CD8 T-Cell,0.00388007193412779,0.466803054630208,0.337,0.32,1,SFT2D1,CD8 T-Cell,Cl_1_3,FALSE
ANAPC16_CD8 T-Cell,0.00389968288763888,-0.0980199719906902,0.614,0.729,1,ANAPC16,CD8 T-Cell,Cl_1_3,FALSE
TBL1XR1_CD8 T-Cell,0.00393146216490036,0.454456663532582,0.339,0.313,1,TBL1XR1,CD8 T-Cell,Cl_1_3,FALSE
IL10RA_CD8 T-Cell,0.00393372965046978,-0.140521476369463,0.558,0.658,1,IL10RA,CD8 T-Cell,Cl_1_3,FALSE
EIF3K_CD8 T-Cell,0.0039448470091993,-0.0849153499075945,0.904,0.947,1,EIF3K,CD8 T-Cell,Cl_1_3,FALSE
CDC25B_CD8 T-Cell,0.00395886384071962,0.32469420193416,0.516,0.527,1,CDC25B,CD8 T-Cell,Cl_1_3,FALSE
GNAI3_CD8 T-Cell,0.00401490734886585,-0.0688081401992823,0.24,0.312,1,GNAI3,CD8 T-Cell,Cl_1_3,FALSE
CLNS1A_CD8 T-Cell,0.0040195892915728,-0.133517196649933,0.283,0.356,1,CLNS1A,CD8 T-Cell,Cl_1_3,FALSE
FERMT3_CD8 T-Cell,0.0040568310045161,-0.0949958782017648,0.44,0.531,1,FERMT3,CD8 T-Cell,Cl_1_3,FALSE
CHCHD5_CD8 T-Cell,0.00410729999029029,-0.0492138325068601,0.31,0.389,1,CHCHD5,CD8 T-Cell,Cl_1_3,FALSE
CLTA_CD8 T-Cell,0.00411132272734503,-0.135276913335234,0.398,0.48,1,CLTA,CD8 T-Cell,Cl_1_3,FALSE
