,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,feature,cluster,group.1,significant
TRPC4AP_CD8 T-Cell,0.186960797188075,0.0861481651848741,0.299,0.35,1,TRPC4AP,CD8 T-Cell,Cl_1_3,FALSE
RPL27A_CD8 T-Cell,0.186975945663766,0.049320768031639,0.894,0.927,1,RPL27A,CD8 T-Cell,Cl_1_3,FALSE
HIGD1A_CD8 T-Cell,0.187186095114557,0.107440952643616,0.23,0.272,1,HIGD1A,CD8 T-Cell,Cl_1_3,FALSE
UBE2R2_CD8 T-Cell,0.187395706463985,0.277308072224813,0.393,0.416,1,UBE2R2,CD8 T-Cell,Cl_1_3,FALSE
NDUFB2_CD8 T-Cell,0.187458508897147,-0.0167010483301759,0.655,0.721,1,NDUFB2,CD8 T-Cell,Cl_1_3,FALSE
FKBP8_CD8 T-Cell,0.188050373309788,-0.0272670765795386,0.659,0.755,1,FKBP8,CD8 T-Cell,Cl_1_3,FALSE
RPL23A_CD8 T-Cell,0.188412613172732,0.0257116911570572,0.992,0.992,1,RPL23A,CD8 T-Cell,Cl_1_3,FALSE
PJA2_CD8 T-Cell,0.188422598500481,0.326883355172003,0.316,0.317,1,PJA2,CD8 T-Cell,Cl_1_3,FALSE
GNAI2_CD8 T-Cell,0.188489688915384,-0.00176085118869773,0.856,0.911,1,GNAI2,CD8 T-Cell,Cl_1_3,FALSE
TBC1D1_CD8 T-Cell,0.192074732767947,0.30137291051876,0.353,0.369,1,TBC1D1,CD8 T-Cell,Cl_1_3,FALSE
CHKB_CD8 T-Cell,0.192454229026159,0.233553379963238,0.332,0.336,1,CHKB,CD8 T-Cell,Cl_1_3,FALSE
SNX17_CD8 T-Cell,0.19247618505451,0.235359047083036,0.443,0.476,1,SNX17,CD8 T-Cell,Cl_1_3,FALSE
LSM7_CD8 T-Cell,0.193060349948522,-0.023791642259428,0.622,0.693,1,LSM7,CD8 T-Cell,Cl_1_3,FALSE
MRPL57_CD8 T-Cell,0.1931090653454,0.000239652039461302,0.418,0.485,1,MRPL57,CD8 T-Cell,Cl_1_3,FALSE
DOCK8_CD8 T-Cell,0.194349027986259,0.190619123787394,0.553,0.587,1,DOCK8,CD8 T-Cell,Cl_1_3,FALSE
C4orf3_CD8 T-Cell,0.195348861893638,0.0178246170983601,0.555,0.642,1,C4orf3,CD8 T-Cell,Cl_1_3,FALSE
TBC1D22A_CD8 T-Cell,0.195842305380644,0.101389618015468,0.252,0.292,1,TBC1D22A,CD8 T-Cell,Cl_1_3,FALSE
SPATA13_CD8 T-Cell,0.197034883290804,0.0842467320214421,0.304,0.358,1,SPATA13,CD8 T-Cell,Cl_1_3,FALSE
G3BP1_CD8 T-Cell,0.198661570801688,0.302121924278107,0.347,0.356,1,G3BP1,CD8 T-Cell,Cl_1_3,FALSE
HPRT1_CD8 T-Cell,0.199128734531469,0.286985047642352,0.386,0.408,1,HPRT1,CD8 T-Cell,Cl_1_3,FALSE
COX16_CD8 T-Cell,0.199231776201443,0.0364027484925364,0.397,0.464,1,COX16,CD8 T-Cell,Cl_1_3,FALSE
MARK2_CD8 T-Cell,0.199336699263703,0.125579986930678,0.232,0.274,1,MARK2,CD8 T-Cell,Cl_1_3,FALSE
ARCN1_CD8 T-Cell,0.200020916237855,0.0402875703719158,0.233,0.271,1,ARCN1,CD8 T-Cell,Cl_1_3,FALSE
CCT2_CD8 T-Cell,0.201118785881753,0.0735452083113016,0.295,0.345,1,CCT2,CD8 T-Cell,Cl_1_3,FALSE
VDAC3_CD8 T-Cell,0.201141136559457,0.0350597330389247,0.312,0.363,1,VDAC3,CD8 T-Cell,Cl_1_3,FALSE
TUT4_CD8 T-Cell,0.202198604141713,0.222442083398453,0.418,0.43,1,TUT4,CD8 T-Cell,Cl_1_3,FALSE
MFSD6_CD8 T-Cell,0.203632295952113,0.0829801653926222,0.314,0.367,1,MFSD6,CD8 T-Cell,Cl_1_3,FALSE
GORASP2_CD8 T-Cell,0.205092669231965,0.0115238858007056,0.389,0.456,1,GORASP2,CD8 T-Cell,Cl_1_3,FALSE
DNAJC15_CD8 T-Cell,0.205115219485718,0.0648744149795527,0.378,0.441,1,DNAJC15,CD8 T-Cell,Cl_1_3,FALSE
TRAF3IP3_CD8 T-Cell,0.205153299035617,0.11303092461414,0.7,0.739,1,TRAF3IP3,CD8 T-Cell,Cl_1_3,FALSE
HSPA5_CD8 T-Cell,0.205341782508956,0.151111592234729,0.694,0.728,1,HSPA5,CD8 T-Cell,Cl_1_3,FALSE
TXNDC11_CD8 T-Cell,0.205458393797881,0.307331635171605,0.292,0.295,1,TXNDC11,CD8 T-Cell,Cl_1_3,FALSE
ENSA_CD8 T-Cell,0.205705258268497,0.161748879001157,0.501,0.523,1,ENSA,CD8 T-Cell,Cl_1_3,FALSE
TNRC6B_CD8 T-Cell,0.20689218250522,0.209764208874285,0.528,0.578,1,TNRC6B,CD8 T-Cell,Cl_1_3,FALSE
PKN2_CD8 T-Cell,0.20707185822008,0.0119740836586958,0.231,0.267,1,PKN2,CD8 T-Cell,Cl_1_3,FALSE
SHKBP1_CD8 T-Cell,0.208177324536759,0.223917883244732,0.413,0.433,1,SHKBP1,CD8 T-Cell,Cl_1_3,FALSE
